metric_id,period,period_date,published_at,change_pct,chain,dimension,title,source_url,source,knowledge_time_method
pcb_material_revenue_yoy,2025-04,2025-04-30T00:00:00+08:00,2025-05-19T23:59:59+08:00,8.03,CCL,physical_throughput,2025年4月台灣上市櫃PCB原物料營收YoY 8.03%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=27224,TPCA public industry chart,page_publication_date
pcb_revenue_yoy,2025-04,2025-04-30T00:00:00+08:00,2025-05-13T23:59:59+08:00,18.68,Networking,physical_throughput,2025年4月 PCB上市櫃營收 YoY18.68%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=27204,TPCA public industry chart,page_publication_date
rigid_pcb_export_yoy,2025-04,2025-04-30T00:00:00+08:00,2025-05-13T23:59:59+08:00,6.36,Networking,physical_throughput,2025年4月台灣硬板出口YoY6.36%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=27207,TPCA public industry chart,page_publication_date
ccl_export_yoy,2025-05,2025-05-31T00:00:00+08:00,2025-06-17T23:59:59+08:00,20.6,CCL,physical_throughput,2025年5月台灣CCL 出口YoY 20.6%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=27320,TPCA public industry chart,page_publication_date
ccl_import_yoy,2025-05,2025-05-31T00:00:00+08:00,2025-06-17T23:59:59+08:00,3.6,CCL,market_tightness,2025年5月台灣CCL 進口YoY 3.6%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=27319,TPCA public industry chart,page_publication_date
pcb_material_revenue_yoy,2025-05,2025-05-31T00:00:00+08:00,2025-06-17T23:59:59+08:00,-0.04,CCL,physical_throughput,2025年5月台灣上市櫃PCB原物料營收YoY -0.04%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=27321,TPCA public industry chart,page_publication_date
pcb_revenue_yoy,2025-05,2025-05-31T00:00:00+08:00,2025-06-11T23:59:59+08:00,12.87,Networking,physical_throughput,2025年5月 PCB上市櫃營收 YoY 12.87%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=27305,TPCA public industry chart,page_publication_date
rigid_pcb_export_yoy,2025-05,2025-05-31T00:00:00+08:00,2025-06-11T23:59:59+08:00,9.61,Networking,physical_throughput,2025年5月台灣硬板出口YoY 9.61%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=27303,TPCA public industry chart,page_publication_date
ccl_export_yoy,2025-06,2025-06-30T00:00:00+08:00,2025-07-22T23:59:59+08:00,-4.3,CCL,physical_throughput,2025年6月台灣CCL 出口YoY -4.3%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=27444,TPCA public industry chart,page_publication_date
ccl_import_yoy,2025-06,2025-06-30T00:00:00+08:00,2025-07-22T23:59:59+08:00,8.3,CCL,market_tightness,2025年6月台灣CCL 進口YoY 8.3%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=27443,TPCA public industry chart,page_publication_date
